[2026-01-29 12:18:32] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:18:45] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:18:50] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:19:08] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:19:09] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:19:13] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:19:17] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:19:18] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:19:29] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:19:30] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:19:32] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:19:36] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:19:46] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: actualizar - IP: ::1 - User: superadmin
[2026-01-29 12:19:47] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:19:56] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: ver - IP: ::1 - User: superadmin
[2026-01-29 12:19:59] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: suspender - IP: ::1 - User: superadmin
[2026-01-29 12:20:00] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: ver - IP: ::1 - User: superadmin
[2026-01-29 12:20:37] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: reactivar - IP: ::1 - User: superadmin
