[2026-01-30 14:23:17] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:23:39] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:23:40] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:23:45] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:24:45] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:24:58] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:24:58] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:35:52] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:36:05] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:36:18] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:36:39] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:36:40] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:36:45] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:36:47] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:36:52] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 14:36:52] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:36:56] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:39:37] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:39:40] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:39:43] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:39:47] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 14:39:47] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:39:53] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
