[2026-02-03 15:43:57] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:44:02] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: editar - IP: ::1 - User: superadmin
[2026-02-03 15:44:17] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:44:20] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 15:45:41] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:47:09] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:47:12] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 15:47:14] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: suspender - IP: ::1 - User: superadmin
[2026-02-03 15:47:19] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: reactivar - IP: ::1 - User: superadmin
[2026-02-03 15:47:21] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: renovar - IP: ::1 - User: superadmin
[2026-02-03 15:47:22] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: suscripciones - IP: ::1 - User: superadmin
[2026-02-03 15:47:26] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:47:32] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 15:47:40] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:47:43] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:48:16] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:48:45] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:49:28] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:49:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:49:48] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:51:22] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:52:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:53:50] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:54:25] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:55:11] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:56:27] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:56:30] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:56:47] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:57:10] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:57:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:58:42] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:59:05] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:59:07] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:59:44] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:00:10] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:01:23] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:01:47] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:01:50] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:01:54] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 16:02:05] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:02:07] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-03 16:02:10] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 16:02:10] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: suspender - IP: ::1 - User: superadmin
[2026-02-03 16:02:11] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: reactivar - IP: ::1 - User: superadmin
[2026-02-03 16:02:12] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: renovar - IP: ::1 - User: superadmin
